Date,Price,Signal,NetValue
2010-01-04,30.5728,----,10000
2010-01-05,30.6257,----,10000
2010-01-06,30.1385,----,10000
2010-01-07,30.0828,----,10000
2010-01-08,30.2828,----,10000
2010-01-11,30.0157,----,10000
2010-01-12,29.6743,----,10000
2010-01-13,30.0928,----,10000
2010-01-14,29.9185,----,10000
2010-01-15,29.4185,----,10000
2010-01-19,30.72,----,10000
2010-01-20,30.2464,----,10000
2010-01-21,29.7245,----,10000
2010-01-22,28.25,----,10000
2010-01-25,29.0107,----,10000
2010-01-26,29.42,----,10000
2010-01-27,29.6977,----,10000
2010-01-28,28.47,----,10000
2010-01-29,27.4375,----,10000
2010-02-01,27.8185,----,10000
2010-02-02,27.98,----,10000
2010-02-03,28.4614,----,10000
2010-02-04,27.4357,----,10000
2010-02-05,27.9228,----,10000
2010-02-08,27.7314,----,10000
2010-02-09,28.0271,----,10000
2010-02-10,27.8737,----,10000
2010-02-11,28.3814,----,10000
2010-02-12,28.6257,----,10000
2010-02-16,29.0571,----,10000
2010-02-17,28.9357,BUY ,9990.02
2010-02-18,28.9897,----,10008.6
2010-02-19,28.81,----,9946.65
2010-02-22,28.6308,----,9884.84
2010-02-23,28.1513,----,9719.39
2010-02-24,28.6651,----,9896.67
2010-02-25,28.8571,----,9962.91
2010-02-26,29.2314,----,10092
2010-03-01,29.8557,----,10307.4
2010-03-02,29.8357,----,10300.5
2010-03-03,29.9043,----,10324.2
2010-03-04,30.1014,----,10392.2
2010-03-05,31.2785,----,10798.3
2010-03-08,31.2971,----,10804.7
2010-03-09,31.86,----,10998.9
2010-03-10,32.12,----,11088.6
2010-03-11,32.2143,----,11121.1
2010-03-12,32.3714,----,11175.3
2010-03-15,31.9771,----,11039.3
2010-03-16,32.0643,----,11069.4
2010-03-17,32.0171,----,11053.1
2010-03-18,32.0928,----,11079.2
2010-03-19,31.75,----,10960.9
2010-03-22,32.1071,----,11084.2
2010-03-23,32.6228,----,11262.1
2010-03-24,32.7671,----,11311.9
2010-03-25,32.3785,----,11177.8
2010-03-26,32.9857,----,11387.3
2010-03-29,33.1985,----,11460.7
2010-03-30,33.6921,----,11631
2010-03-31,33.5714,----,11589.3
2010-04-01,33.71,----,11637.1
